id,romaji,definition,definitionPos,phonetic,phoneticPos,sentence
1,ah, Ah!,interjection,ah,interjection,VOID
2,au,to meet,verb,ow,interjection,VOID
3,aoi,blue,adjective,owie,interjection,VOID
4,akai,red,adjective,archive,noun,VOID
5,akarui,"light, bright",adjective,aquamarine,adjective,VOID
6,aki,"autumn, fall",noun,key,noun,VOID
7,aku,open,adjective,cool,adjective,VOID
8,akeru,to open,verb,care,noun,VOID
9,ageru,to give,verb,Agera,noun,VOID
10,asa,morning,noun,saw,verb,VOID
